case,r,t,u,r0,u0,D,sc,p
1,2.850000e-01,2.700000e+01,9.971926e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
3,7.000000e-02,1.800000e+01,7.000000e-02,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
3,4.700000e-01,0.000000e+00,0.000000e+00,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
3,2.400000e-01,1.500000e+01,2.400000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
0,1.650000e-01,3.000000e+00,5.411432e-07,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
2,2.850000e-01,3.000000e+01,9.997012e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
2,4.700000e-01,9.000000e+00,2.935184e-14,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
2,2.300000e-01,0.000000e+00,0.000000e+00,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
0,2.950000e-01,1.200000e+01,5.151411e-06,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
1,2.650000e-01,2.700000e+01,9.983761e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
3,2.450000e-01,1.200000e+01,2.450000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
3,2.000000e-01,2.100000e+01,2.000000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
2,5.000000e-01,3.000000e+01,8.927464e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
3,1.250000e-01,1.800000e+01,1.250000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
0,2.500000e-02,9.000000e+00,6.538774e-01,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
2,4.200000e-01,2.400000e+01,4.185829e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
3,1.650000e-01,2.400000e+01,1.650000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
1,2.350000e-01,0.000000e+00,0.000000e+00,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
1,4.250000e-01,6.000000e+00,1.110204e-17,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
0,4.050000e-01,2.400000e+01,9.138357e-06,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
0,2.500000e-01,6.000000e+00,6.087120e-08,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
1,3.450000e-01,9.000000e+00,2.992241e-07,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
2,4.600000e-01,1.500000e+01,1.628394e-06,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
1,4.700000e-01,2.700000e+01,7.376552e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
2,2.700000e-01,0.000000e+00,0.000000e+00,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
3,1.350000e-01,1.800000e+01,1.350000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
1,6.500000e-02,2.100000e+01,9.998382e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
1,1.650000e-01,3.000000e+01,9.999808e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
0,1.000000e-01,1.800000e+01,2.048883e-01,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
0,1.250000e-01,1.200000e+01,5.241814e-02,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
3,2.950000e-01,6.000000e+00,2.950000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
0,1.850000e-01,2.100000e+01,2.997497e-02,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
0,3.650000e-01,9.000000e+00,1.046158e-10,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
1,2.100000e-01,1.200000e+01,3.079828e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
3,3.300000e-01,0.000000e+00,0.000000e+00,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
1,6.500000e-02,3.000000e+00,1.434167e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
0,4.750000e-01,6.000000e+00,1.570974e-23,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
0,4.400000e-01,6.000000e+00,1.311790e-20,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
3,1.650000e-01,1.500000e+01,1.650000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
2,2.500000e-01,6.000000e+00,1.270727e-06,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
1,3.000000e-01,9.000000e+00,2.606163e-05,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
0,1.200000e-01,2.100000e+01,1.590153e-01,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
0,4.800000e-01,6.000000e+00,5.823815e-24,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
1,3.150000e-01,0.000000e+00,0.000000e+00,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
3,4.550000e-01,2.700000e+01,4.550000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
3,1.100000e-01,1.500000e+01,1.100000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
2,5.000000e-03,1.800000e+01,9.999860e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
3,4.950000e-01,2.400000e+01,4.950000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
1,2.400000e-01,1.200000e+01,1.123088e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
3,3.650000e-01,2.700000e+01,3.650000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
2,1.550000e-01,3.000000e+00,7.369068e-06,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
2,4.900000e-01,2.700000e+01,4.975867e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
2,2.550000e-01,2.700000e+01,9.991474e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
2,2.800000e-01,3.000000e+00,7.277000e-16,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
3,2.250000e-01,9.000000e+00,2.250000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
0,2.900000e-01,3.000000e+01,4.426643e-03,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
0,2.550000e-01,0.000000e+00,0.000000e+00,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
1,4.200000e-01,9.000000e+00,4.694057e-11,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
1,2.300000e-01,3.000000e+00,4.670878e-11,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
0,3.850000e-01,1.800000e+01,1.155700e-06,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
3,1.050000e-01,1.500000e+01,1.050000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
3,2.800000e-01,2.700000e+01,2.800000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
3,4.350000e-01,1.200000e+01,4.350000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
0,3.900000e-01,3.000000e+00,1.380765e-28,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
1,1.300000e-01,2.100000e+01,9.989272e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
3,5.500000e-02,1.500000e+01,5.500000e-02,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
2,2.250000e-01,9.000000e+00,4.909306e-03,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
1,3.800000e-01,2.700000e+01,9.636026e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
2,3.350000e-01,2.700000e+01,9.873764e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
1,4.600000e-01,2.700000e+01,7.726727e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
1,4.450000e-01,9.000000e+00,1.793577e-12,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
3,4.300000e-01,1.800000e+01,4.300000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
1,4.750000e-01,1.200000e+01,8.075465e-10,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
3,3.400000e-01,2.400000e+01,3.400000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
3,2.400000e-01,9.000000e+00,2.400000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
